cve_id,true_label,predicted_risk,epss_score
CVE-2025-41236,0,0.8560648810748213,0.02173
CVE-2025-41238,0,0.8560648810748213,0.00393
CVE-2026-24834,0,0.8560648810748213,0.00223
CVE-2025-41237,0,0.8560648810748213,0.00393
CVE-2026-20688,0,0.8560648810748213,0.00275
CVE-2025-36356,0,0.8560648810748213,0.00176
CVE-2026-46913,0,0.8560648810748213,0.0014
CVE-2026-28827,0,0.8560648810748213,0.00278
CVE-2025-1126,0,0.8560648810748213,0.00248
CVE-2025-1950,0,0.8560648810748213,0.00187
CVE-2025-26496,0,0.8560648810748213,0.00208
CVE-2025-27724,0,0.8560648810748213,0.00535
CVE-2025-32058,0,0.8560648810748213,0.00159
CVE-2026-40317,0,0.8560648810748213,0.00225
CVE-2025-64314,0,0.8560648810748213,0.00084
CVE-2026-9264,0,0.8560648810748213,0.00231
CVE-2026-1346,0,0.8560648810748213,0.00228
CVE-2025-6513,0,0.8560648810748213,0.00146
CVE-2025-22224,1,0.8560648810748213,0.01524
CVE-2026-49798,0,0.8560648810748213,0.02155
CVE-2026-5752,0,0.8560648810748213,0.00209
CVE-2025-15113,0,0.8560648810748213,0.00433
CVE-2025-26850,0,0.8560648810748213,0.0016
CVE-2026-20407,0,0.8560648810748213,0.00166
CVE-2026-45328,0,0.8560648810748213,0.00126
CVE-2024-57823,0,0.8560648810748213,0.00315
CVE-2025-26469,0,0.8560648810748213,0.00535
CVE-2025-23016,0,0.8560648810748213,0.00566
CVE-2025-32463,1,0.8560648810748213,0.47467
CVE-2026-40402,0,0.8560648810748213,0.00332
CVE-2025-33187,0,0.8560648810748213,0.00155
CVE-2025-24973,0,0.8560648810748213,0.00184
CVE-2024-58250,0,0.8560648810748213,0.00208
CVE-2026-40959,0,0.8560648810748213,0.00182
CVE-2025-53391,0,0.8560648810748213,0.00147
CVE-2026-0106,0,0.8560648810748213,0.00112
CVE-2026-46316,0,0.8560648810748213,0.00202
CVE-2025-43858,0,0.8486036912702074,0.00236
CVE-2026-27208,0,0.8486036912702074,0.00655
CVE-2026-50110,0,0.8486036912702074,0.00128
CVE-2026-34714,0,0.8486036912702074,0.00588
CVE-2026-39305,0,0.8327309351907327,0.00312
CVE-2026-40572,0,0.8327309351907327,0.00213
CVE-2026-39860,0,0.8327309351907327,0.00193
CVE-2025-63729,0,0.8327309351907327,0.00079
CVE-2025-47372,0,0.8327309351907327,0.00101
CVE-2025-55729,0,0.823253641592097,0.00684
CVE-2026-33712,0,0.823253641592097,0.00347
CVE-2026-34909,1,0.823253641592097,0.02269
CVE-2025-49414,0,0.823253641592097,0.00338
CVE-2026-34908,1,0.823253641592097,0.02452
CVE-2025-49302,0,0.823253641592097,0.00366
CVE-2026-12848,0,0.823253641592097,0.00427
CVE-2026-34910,1,0.823253641592097,0.78555
CVE-2025-63414,0,0.823253641592097,0.01652
CVE-2026-13768,0,0.823253641592097,0.00559
CVE-2026-46595,0,0.823253641592097,0.0044
CVE-2025-55727,0,0.823253641592097,0.00978
CVE-2026-27597,0,0.823253641592097,0.00878
CVE-2025-41672,0,0.823253641592097,0.00346
CVE-2026-56451,0,0.823253641592097,0.00384
CVE-2025-43300,1,0.823253641592097,0.19972
CVE-2026-20127,1,0.823253641592097,0.57793
CVE-2024-34166,0,0.823253641592097,0.1579
CVE-2026-42901,0,0.823253641592097,0.00301
CVE-2026-47280,0,0.823253641592097,0.00494
CVE-2026-23652,0,0.823253641592097,0.00577
CVE-2026-2761,0,0.823253641592097,0.00395
CVE-2026-34234,0,0.823253641592097,0.00821
CVE-2025-63224,0,0.823253641592097,0.00735
CVE-2026-57624,0,0.823253641592097,0.00697
CVE-2026-40412,0,0.823253641592097,0.00534
CVE-2025-55728,0,0.823253641592097,0.0074
CVE-2025-65108,0,0.823253641592097,0.00916
CVE-2025-55730,0,0.823253641592097,0.00684
CVE-2025-55051,0,0.823253641592097,0.00319
